user_id,employment_type,income_range,city_tier,bank_account_age_months,num_bank_accounts,monthly_income,rent_paid_on_time,utility_delay_days,upi_txn_count,avg_month_end_balance,overdraft_event,alt_credit_score
26,student,0-15000,1,67,1,34806.16667,0.75,4.916666667,89.33333333,19361.25,1,74.44
27,gig,10000-30000,2,96,3,24189.41667,0.8333333333,3.75,97.25,13385.83333,1,72.97
28,salaried,25000-80000,1,83,3,17167.08333,0.9166666667,3,74.33333333,16724.33333,0,80.39
29,gig,10000-30000,2,19,3,49592.41667,0.9166666667,2.583333333,65.66666667,15239,2,79.32
30,student,0-15000,2,95,2,17837.33333,0.9166666667,3,92.83333333,16798.08333,1,80.46
31,salaried,25000-80000,1,101,3,29374,0.9166666667,3.333333333,78.75,14763,2,78.1
32,salaried,25000-80000,2,9,2,52037.33333,0.9166666667,1.583333333,92.33333333,15045.66667,1,80.13
33,student,0-15000,2,20,3,27753.08333,1,2,92,15723.08333,0,83.72
34,salaried,25000-80000,3,76,3,37208.33333,0.9166666667,2.333333333,80.25,17187.83333,0,81.52
35,gig,10000-30000,3,47,1,38396.58333,0.9166666667,1.833333333,96,12963.91667,2,77.8
36,salaried,25000-80000,1,33,2,23718.58333,0.75,4.333333333,79.16666667,12146,1,67.81
37,self_employed,20000-100000,1,97,1,25367.91667,0.9166666667,2.333333333,76.08333333,15771.41667,0,80.1
38,salaried,25000-80000,1,32,2,54846.25,1,2.166666667,68.5,15961.58333,0,83.79
39,student,0-15000,1,8,3,46896.16667,0.8333333333,3.5,81.83333333,17552.33333,0,77.39
40,student,0-15000,2,67,1,47035.41667,1,2,88.08333333,15799.33333,1,83.8
41,gig,10000-30000,1,29,3,35650.83333,1,2.333333333,71.83333333,14145.16667,0,81.81
42,student,0-15000,1,93,1,49967.66667,0.75,4.25,113.1666667,16551.33333,1,72.3
43,salaried,25000-80000,1,63,2,43179.83333,0.9166666667,2.75,76.5,12187.08333,0,76.1
44,gig,10000-30000,2,106,1,41933.25,0.9166666667,3.166666667,85.41666667,15064.08333,0,78.56
45,self_employed,20000-100000,1,7,2,28216.75,0.9166666667,1.416666667,98.58333333,15515.66667,0,80.77
46,salaried,25000-80000,1,101,1,42197.75,1,2.083333333,100.6666667,13962.58333,0,81.88
47,gig,10000-30000,2,58,2,24714.58333,0.8333333333,3.833333333,64.25,19063.91667,0,78.56
48,self_employed,20000-100000,1,73,3,38007.91667,0.8333333333,3.5,83.08333333,14849.41667,0,74.68
49,gig,10000-30000,1,43,1,52670.91667,0.75,3.916666667,81.66666667,15067.25,0,71.15
50,gig,10000-30000,2,16,3,40323.75,1,1.416666667,106.0833333,13797.83333,0,82.38
51,student,0-15000,3,64,2,40432.75,0.9166666667,3.25,82,12190.75,0,75.61
52,gig,10000-30000,3,64,3,49817.08333,0.75,4.416666667,79.91666667,15652.16667,0,71.24
53,gig,10000-30000,3,25,3,51386.41667,0.8333333333,2.916666667,72.58333333,13314.75,0,73.73
54,student,0-15000,2,44,2,47486.5,1,1.75,81.33333333,17306.25,2,85.56
55,gig,10000-30000,2,62,1,61189.25,1,2.666666667,74.66666667,14741.16667,0,82.07
56,salaried,25000-80000,2,47,3,14617.5,0.9166666667,2.25,62.75,16406.08333,1,80.82
57,salaried,25000-80000,1,117,1,46332.25,1,1.333333333,97.16666667,15281.16667,1,83.95
58,salaried,25000-80000,1,6,2,11417.5,1,2.333333333,72,16845,0,84.51
59,self_employed,20000-100000,3,14,1,44656.58333,0.8333333333,3.25,94.58333333,13712.41667,1,73.8
60,salaried,25000-80000,2,8,2,8704.75,0.9166666667,2.333333333,84.83333333,14737.58333,0,79.07
61,gig,10000-30000,2,80,1,13285,1,2.916666667,79.66666667,14879.5,0,81.96
62,student,0-15000,3,89,2,66583.08333,0.8333333333,3.333333333,95.41666667,17938.58333,2,77.94
63,student,0-15000,1,104,1,41206.08333,0.9166666667,3.083333333,88.41666667,14756.58333,0,78.34
64,student,0-15000,1,87,2,10294.91667,0.9166666667,3.083333333,108.25,14946.91667,0,78.53
65,gig,10000-30000,2,46,1,45062.08333,0.6666666667,5.583333333,68.91666667,16749.66667,0,67.83
66,student,0-15000,2,53,3,8602.25,0.9166666667,2.583333333,86.41666667,16733,2,80.82
67,gig,10000-30000,1,53,3,39615.25,0.8333333333,4.083333333,94.66666667,15558.41667,1,74.81
68,salaried,25000-80000,1,115,2,52462.08333,0.9166666667,3.5,107,18240.75,0,81.41
69,self_employed,20000-100000,1,59,3,18778.58333,0.6666666667,5,83.91666667,14004.91667,0,65.67
70,salaried,25000-80000,1,102,3,38749.16667,1,1.833333333,81.66666667,13081.83333,0,81.25
71,salaried,25000-80000,1,66,3,32163.83333,1,2.333333333,89.91666667,14221.66667,0,81.89
72,salaried,25000-80000,3,22,2,53880.83333,1,1.916666667,92.16666667,12625.25,0,80.71
73,self_employed,20000-100000,3,104,1,12634.41667,0.9166666667,4,90.08333333,17066.83333,0,79.73
74,self_employed,20000-100000,1,51,1,14407,0.8333333333,4.5,81,13043.83333,2,71.88
75,salaried,25000-80000,3,68,1,59806.75,0.9166666667,3.583333333,73.83333333,14692.75,1,77.78
76,salaried,25000-80000,3,72,2,30306.83333,1,1.166666667,87.41666667,13267.66667,1,82.1
77,salaried,25000-80000,3,63,3,19714.5,0.8333333333,3.25,88.16666667,14058.08333,0,74.14
78,salaried,25000-80000,1,37,3,36818.58333,1,1.75,68.83333333,14589.75,1,82.84
79,self_employed,20000-100000,1,32,2,13778.91667,0.75,4.75,77.91666667,17216.16667,1,72.47
80,self_employed,20000-100000,2,38,1,39878.5,1,1.75,100.75,15637,1,83.89
81,gig,10000-30000,1,98,2,25369.83333,0.8333333333,3.833333333,80,13296.5,0,72.8
82,gig,10000-30000,3,30,1,44043.41667,0.9166666667,3.416666667,77.25,18295.25,1,81.55
83,student,0-15000,1,41,1,37938.16667,1,1.416666667,79.58333333,9041.25,0,77.62
84,student,0-15000,1,115,2,11589.75,0.75,5.416666667,67.16666667,15081.75,0,69.67
85,self_employed,20000-100000,1,97,2,18045.66667,0.8333333333,3.083333333,98,13219.83333,1,73.47
86,student,0-15000,2,91,3,10143.75,1,2.083333333,104.4166667,15180.16667,0,83.1
87,salaried,25000-80000,2,27,2,17343.58333,1,1.833333333,89,17809.91667,0,85.98
88,self_employed,20000-100000,1,47,2,52211.58333,1,1.416666667,97.08333333,16933.33333,0,85.52
89,salaried,25000-80000,2,106,1,45316,0.9166666667,2.583333333,75.25,12811.5,0,76.89
90,gig,10000-30000,1,113,1,19935,0.8333333333,3.916666667,82.83333333,14711.91667,2,74.13
91,salaried,25000-80000,3,101,2,44687.41667,1,1.5,76.16666667,15464.66667,0,83.96
92,salaried,25000-80000,2,57,1,24941.25,0.9166666667,3,61,18477.5,0,82.14
93,self_employed,20000-100000,2,24,1,29848.25,0.9166666667,2.5,93.66666667,15750.16667,1,79.92
94,salaried,25000-80000,2,63,3,14690.75,1,2.166666667,110.5,19010,0,86.84
95,salaried,25000-80000,1,67,3,59855,1,2.25,84.16666667,18235.75,0,85.99
96,salaried,25000-80000,2,6,2,44521.66667,1,2.416666667,81.5,16328.58333,1,83.91
97,self_employed,20000-100000,2,101,2,45125.66667,0.9166666667,2.416666667,77.91666667,12486.83333,0,76.74
98,student,0-15000,1,114,1,61993.41667,1,1.75,78,17926.25,1,86.18
99,gig,10000-30000,2,69,3,41146.41667,0.9166666667,2.833333333,90.5,17597.5,1,81.43
100,salaried,25000-80000,2,72,2,13116.58333,0.9166666667,2.416666667,74.75,15421.33333,0,79.67
101,salaried,25000-80000,3,62,1,34376.75,1,1.583333333,82.08333333,18952.41667,0,87.37
102,student,0-15000,1,118,2,64820.5,0.8333333333,2.416666667,89.25,11086.83333,1,72
103,self_employed,20000-100000,2,81,2,14205.5,0.5833333333,6.166666667,61.5,18401.58333,3,65.57
104,gig,10000-30000,3,105,1,19291.75,0.9166666667,2.583333333,83.83333333,11912.33333,0,76
105,salaried,25000-80000,2,15,2,15807.91667,1,2.083333333,87.58333333,10449.91667,0,78.37
106,gig,10000-30000,1,100,2,10998.66667,0.8333333333,3.25,105.25,17733.33333,0,77.82
107,gig,10000-30000,2,6,1,25886.08333,0.9166666667,2.916666667,73.5,14803.66667,0,78.55
108,gig,10000-30000,2,85,3,22258,0.8333333333,4.166666667,75.58333333,10358.16667,1,69.52
109,self_employed,20000-100000,3,37,3,61559,0.9166666667,2.416666667,82.83333333,13705.41667,0,77.96
110,gig,10000-30000,2,40,1,53366.83333,1,1.583333333,84.16666667,16300.08333,1,84.72
111,salaried,25000-80000,2,106,3,43591.58333,0.9166666667,2.333333333,82.16666667,13543.41667,0,77.88
112,gig,10000-30000,2,48,1,52393.91667,0.8333333333,4.666666667,86.41666667,12960.5,0,71.63
113,student,0-15000,1,7,1,62513.91667,0.8333333333,3.916666667,71.25,19457.75,0,78.87
114,student,0-15000,2,86,2,40096,0.9166666667,2.666666667,82,16982.08333,1,80.98
115,salaried,25000-80000,3,95,2,38457.5,0.8333333333,3.916666667,74.41666667,14568.25,1,73.98
116,gig,10000-30000,1,73,2,47224.58333,0.9166666667,1.833333333,78.5,14905.83333,1,79.74
117,gig,10000-30000,2,34,1,33760.91667,0.6666666667,4.75,87.83333333,17267.16667,2,69.18
118,gig,10000-30000,1,15,1,54629.41667,0.9166666667,2.833333333,83.41666667,15162.75,0,79
119,gig,10000-30000,3,54,3,33512.33333,0.75,3.416666667,88.66666667,16838.25,1,73.42
120,salaried,25000-80000,1,108,3,51644.41667,0.8333333333,3.25,81.75,15044.25,1,75.13
121,self_employed,20000-100000,3,118,3,37718.58333,0.8333333333,4,97.08333333,16160,0,75.49
122,gig,10000-30000,3,110,2,13010.58333,0.9166666667,3.083333333,75.08333333,11849.75,1,75.43
123,self_employed,20000-100000,2,117,1,45068.58333,0.75,4.833333333,96.75,13118.83333,0,68.29
124,salaried,25000-80000,3,54,1,12746.58333,0.8333333333,3.666666667,88.66666667,13255.91667,0,72.92
125,self_employed,20000-100000,1,76,2,16330.58333,0.8333333333,4.083333333,84.83333333,15993.08333,0,75.24
126,gig,10000-30000,2,116,1,7049.916667,0.9166666667,2.75,88.58333333,15328.91667,1,79.25
127,student,0-15000,2,57,3,57099.41667,0.9166666667,3.166666667,81.41666667,15438.33333,0,78.94
128,salaried,25000-80000,3,21,1,34111.58333,0.8333333333,4.666666667,85.16666667,15018.83333,1,73.69
129,student,0-15000,3,63,3,38571.25,1,1.666666667,95.5,15391.83333,1,83.73
130,self_employed,20000-100000,1,40,3,40928.41667,0.75,4.166666667,73.08333333,15902.41667,1,71.74
131,salaried,25000-80000,2,116,1,44408.66667,0.9166666667,2.833333333,92.41666667,17753.16667,2,81.59
132,gig,10000-30000,2,107,3,30029.83333,1,1.5,75.25,10485,0,78.98
133,salaried,25000-80000,1,14,2,8964.166667,1,2.25,72.16666667,18458.66667,0,86.21
134,self_employed,20000-100000,1,34,1,26274.5,0.9166666667,3.25,103,19099.66667,0,82.52
135,salaried,25000-80000,2,114,1,56109.41667,1,2.333333333,89.41666667,18918.83333,3,86.59
136,self_employed,20000-100000,1,76,1,20290.58333,0.9166666667,2,77.83333333,14134.25,1,78.8
137,salaried,25000-80000,1,36,3,43258.66667,1,2,63,18440.33333,0,86.44
138,gig,10000-30000,2,96,2,48705.41667,1,2,90.25,16610.25,0,84.61
139,self_employed,20000-100000,1,72,1,31656,0.8333333333,3.416666667,95.5,16410.58333,0,76.33
140,student,0-15000,2,63,1,10355,1,1.75,102.8333333,15208.5,2,83.46
141,gig,10000-30000,2,8,1,57421.16667,0.8333333333,4.083333333,68.08333333,17180.91667,1,76.43
142,salaried,25000-80000,2,118,1,54320.75,1,2.5,83.08333333,13642.91667,0,81.14
143,self_employed,20000-100000,1,11,2,36014.91667,0.75,2.833333333,88,13499.16667,1,70.67
144,student,0-15000,3,66,3,30530.91667,0.9166666667,2.166666667,96.58333333,16816.66667,0,81.32
145,self_employed,20000-100000,2,80,1,60768.91667,1,1.916666667,79.25,12577.91667,1,80.66
146,salaried,25000-80000,2,62,2,31807.33333,1,2.083333333,87,16641.91667,0,84.56
147,student,0-15000,1,20,3,46408.33333,0.8333333333,4,84.08333333,15158.66667,1,74.49
148,self_employed,20000-100000,2,8,3,44116.25,0.5833333333,6.666666667,82,16233.08333,0,62.9
149,student,0-15000,1,101,2,18412.91667,0.8333333333,4.666666667,100,13233.16667,1,71.9
150,salaried,25000-80000,2,13,2,15939.75,0.9166666667,2.5,95.83333333,17146.75,3,81.31
151,student,0-15000,2,63,2,7669.5,1,1.5,82.91666667,12134.5,0,80.63
152,salaried,25000-80000,1,105,3,32399.75,0.9166666667,2.75,77.91666667,13937.16667,0,77.85
153,gig,10000-30000,2,38,1,27817.66667,0.9166666667,3,92.25,20549.75,0,84.22
154,gig,10000-30000,2,34,1,37658.33333,0.75,4.25,79.58333333,19912.41667,1,75.66
155,self_employed,20000-100000,3,87,3,40690.58333,1,2.25,93.91666667,12980.75,1,80.73
156,gig,10000-30000,2,71,2,63816.08333,0.5833333333,8.166666667,78,18014.91667,2,63.18
157,self_employed,20000-100000,3,114,1,34004.25,1,1.916666667,101.8333333,13172.58333,1,81.26
158,student,0-15000,1,70,2,22014.25,1,2.25,80.33333333,14640.66667,1,82.39
159,self_employed,20000-100000,1,90,2,10711.16667,0.75,4.5,101.1666667,9498.75,0,65
160,salaried,25000-80000,3,32,1,23199.58333,0.8333333333,4.666666667,78,16417.08333,0,75.08
161,gig,10000-30000,2,104,3,23713.08333,0.8333333333,4.166666667,71.16666667,13754.58333,0,72.92
162,salaried,25000-80000,1,11,1,13969,1,2.5,91.16666667,13417.33333,0,80.92
163,salaried,25000-80000,2,8,1,38582.5,1,1.833333333,84.08333333,18343.16667,1,86.51
164,salaried,25000-80000,2,79,2,57108,0.9166666667,3.25,88.83333333,19004.5,0,82.42
165,salaried,25000-80000,1,78,2,34134.33333,1,1.916666667,99.91666667,13154.75,0,81.24
166,salaried,25000-80000,1,9,2,44488.08333,0.8333333333,3.583333333,92.16666667,13772.66667,0,73.52
167,self_employed,20000-100000,3,39,3,15472.16667,0.9166666667,3.25,83.16666667,17091.83333,1,80.51
168,student,0-15000,2,39,2,23266.41667,1,1.5,70.16666667,16534.33333,0,85.03
169,gig,10000-30000,2,17,1,59420,0.75,4.166666667,110.6666667,18012.16667,1,73.85
170,salaried,25000-80000,2,99,3,44672.16667,0.9166666667,2.916666667,90.91666667,14828.5,1,78.58
171,salaried,25000-80000,1,52,3,56192,0.9166666667,2.75,59,15127.58333,0,79.04
172,gig,10000-30000,2,71,3,11297.08333,0.9166666667,2.083333333,79.25,15214.66667,1,79.8
173,salaried,25000-80000,1,103,2,32350.33333,0.8333333333,3.583333333,86.25,19481.33333,1,79.23
174,gig,10000-30000,2,84,3,27769.33333,0.9166666667,2.083333333,85.91666667,12984.75,0,77.57
175,student,0-15000,2,43,1,28865.83333,0.8333333333,3.916666667,85.83333333,17913.25,1,77.33
176,gig,10000-30000,1,111,3,28583.5,1,2.25,84.5,20009.91667,0,87.76
177,gig,10000-30000,3,15,1,27960.33333,0.8333333333,4.166666667,63.91666667,16770.91667,0,75.94
178,salaried,25000-80000,1,93,1,52060.66667,1,1.916666667,75.25,15200,2,83.28
179,self_employed,20000-100000,2,82,2,11187.16667,0.5833333333,6.333333333,87.08333333,17400.66667,0,64.4
180,gig,10000-30000,1,116,1,49896.75,0.8333333333,4.083333333,110.6666667,11453,0,70.7
181,salaried,25000-80000,2,80,2,26062.83333,0.9166666667,3.416666667,90.5,17701.75,0,80.95
182,gig,10000-30000,1,9,1,23523.25,1,1.75,85.5,10768.83333,0,79.02
183,self_employed,20000-100000,2,98,2,25806.58333,0.9166666667,2.5,104.4166667,18568.58333,0,82.74
184,gig,10000-30000,1,26,1,15046.33333,0.9166666667,3.25,79.75,18335.83333,2,81.75
185,salaried,25000-80000,1,27,1,34645,0.9166666667,2.916666667,71.41666667,12859.66667,1,76.61
186,salaried,25000-80000,2,17,2,37412.66667,1,2.666666667,81.83333333,11688.58333,1,79.02
187,self_employed,20000-100000,1,95,1,34045.66667,1,2.166666667,92.91666667,16519.5,0,84.35
188,salaried,25000-80000,1,52,1,52480.66667,0.9166666667,3.333333333,82.58333333,12409,0,75.74
189,gig,10000-30000,2,112,3,20120.66667,0.75,4.583333333,89.58333333,15712.91667,0,71.13
190,salaried,25000-80000,1,41,1,21771.83333,1,1.75,83.75,15806.91667,0,84.06
191,student,0-15000,2,57,3,46112,0.8333333333,3.833333333,95.08333333,18237.16667,0,77.74
192,salaried,25000-80000,3,19,2,43709.66667,0.9166666667,3.25,82.83333333,15280.25,0,78.7
193,gig,10000-30000,2,7,1,35097.83333,0.8333333333,4.333333333,81.08333333,16029,0,75.03
194,student,0-15000,1,12,3,31208.25,1,2.416666667,91.5,13220.5,0,80.8
195,self_employed,20000-100000,2,116,1,44598.75,0.9166666667,2.75,78.5,15304.16667,0,79.22
196,self_employed,20000-100000,1,20,1,8768.75,0.9166666667,3.583333333,78.33333333,15308.08333,0,78.39
197,gig,10000-30000,1,44,1,31422,0.8333333333,3.666666667,74.41666667,14562.25,1,74.23
198,gig,10000-30000,1,49,1,20628.66667,0.6666666667,5.166666667,83.41666667,17782.75,2,69.28
199,self_employed,20000-100000,2,73,2,39596.83333,0.8333333333,4.166666667,72.58333333,16661.08333,0,75.83
200,gig,10000-30000,2,116,3,17122.58333,0.9166666667,2.833333333,76.5,14439,2,78.27
201,gig,10000-30000,2,45,1,60471,0.8333333333,4.25,103.0833333,18015.08333,0,77.1
202,salaried,25000-80000,1,106,2,26848.5,0.9166666667,1.75,85.91666667,13938.91667,1,78.86
203,self_employed,20000-100000,2,64,3,50125.08333,0.9166666667,3.083333333,79.16666667,15790.91667,0,79.37
204,self_employed,20000-100000,2,38,1,13881,0.75,4.5,82.58333333,12491.5,0,67.99
205,student,0-15000,1,117,2,7067,0.75,3.833333333,75,13554,0,69.72
206,student,0-15000,1,100,3,54452.08333,0.75,4.916666667,73.16666667,10912,0,66
207,gig,10000-30000,1,36,1,38583.5,0.8333333333,4.083333333,72.83333333,16597.25,2,75.85
208,self_employed,20000-100000,1,71,3,16152.83333,0.75,4.416666667,82.41666667,11486.16667,0,67.07
209,self_employed,20000-100000,3,118,2,7498.833333,0.75,4.75,69.41666667,14096.25,0,69.35
210,student,0-15000,2,62,2,13904,0.9166666667,3.5,89.25,16017.75,2,79.18
211,salaried,25000-80000,2,56,1,52885,1,1.833333333,81.25,12326.58333,1,80.49
212,gig,10000-30000,1,73,3,10478.08333,0.9166666667,2.833333333,80.75,17312.66667,0,81.15
213,student,0-15000,2,17,3,15250.5,0.8333333333,3.083333333,66.16666667,15482.66667,0,75.73
214,gig,10000-30000,3,43,1,47518.66667,0.9166666667,3.5,59.16666667,17271.33333,0,80.44
215,salaried,25000-80000,3,82,3,39218.66667,1,1.833333333,89.08333333,17548,0,85.71
216,salaried,25000-80000,1,15,1,57710.08333,1,2.416666667,82.83333333,14512.41667,1,82.1
217,student,0-15000,3,18,2,16146.75,0.9166666667,4,93.83333333,14307.5,0,76.97
218,student,0-15000,1,78,1,34383.08333,1,2.25,87.91666667,12301.33333,2,80.05
219,student,0-15000,2,43,3,75724.5,0.75,3.166666667,79.75,16509.16667,2,73.34
220,gig,10000-30000,1,74,2,65713.41667,0.75,4.333333333,98.33333333,18018.91667,2,73.69
221,gig,10000-30000,2,80,1,41526,0.6666666667,6.083333333,73.41666667,17665.5,0,68.25
222,salaried,25000-80000,1,6,2,57199,1,1.833333333,68.83333333,14282.25,1,82.45
223,student,0-15000,3,16,1,61082.75,0.6666666667,4.666666667,60.16666667,14471.75,0,66.47
224,gig,10000-30000,3,40,1,11710.41667,0.75,4.666666667,84.08333333,20970.75,1,76.3
225,student,0-15000,1,83,2,21728.58333,1,1.75,92,16837.66667,1,85.09
226,self_employed,20000-100000,1,47,1,43259.41667,1,2.5,76.08333333,15253.33333,0,82.75
227,gig,10000-30000,2,109,2,18321.58333,1,2.416666667,93.16666667,12777.66667,2,80.36
228,self_employed,20000-100000,2,102,3,48293.5,0.75,4.916666667,84.5,21818,0,76.9
229,salaried,25000-80000,2,22,1,10642.5,0.8333333333,3.5,74.41666667,16213,0,76.05
230,salaried,25000-80000,2,58,3,15961.16667,0.9166666667,3.5,93.83333333,19210.25,3,82.38
231,salaried,25000-80000,2,72,3,35353.33333,1,1.75,69.5,16538.58333,1,84.79
232,gig,10000-30000,2,20,3,39413.33333,0.8333333333,2.5,73.16666667,18780.25,1,79.61
233,gig,10000-30000,2,108,3,15982.83333,0.8333333333,3.083333333,74.66666667,14910.91667,1,75.16
234,gig,10000-30000,1,102,1,53775.16667,0.8333333333,4.666666667,93.16666667,15383.16667,0,74.05
235,salaried,25000-80000,2,73,2,17119.25,0.9166666667,3.416666667,89.08333333,15508.33333,0,78.76
236,gig,10000-30000,2,79,1,43164.91667,0.9166666667,3.333333333,102.75,13872.91667,2,77.21
237,student,0-15000,2,52,1,42517.66667,0.8333333333,4.25,88.75,17715.16667,1,76.8
238,student,0-15000,1,34,1,23112.41667,0.9166666667,2.75,104.9166667,14753.08333,1,78.67
239,salaried,25000-80000,2,50,2,13629.08333,0.9166666667,2.916666667,80.58333333,13358.66667,0,77.11
240,student,0-15000,2,41,2,58239.83333,0.9166666667,2.75,66.83333333,14359.25,0,78.28
241,salaried,25000-80000,1,16,2,32796.66667,0.9166666667,3.25,74.66666667,16860.08333,1,80.28
242,self_employed,20000-100000,2,77,3,30636.16667,0.75,4.666666667,91.25,15054.91667,1,70.39
243,salaried,25000-80000,3,17,2,35868.66667,0.9166666667,2.25,97.75,17578.33333,0,81.99
244,salaried,25000-80000,2,94,1,21095.25,1,1.833333333,102.9166667,16622.33333,0,84.79
245,student,0-15000,3,81,1,44060.5,0.6666666667,5,101.3333333,14188.75,2,65.86
246,self_employed,20000-100000,2,111,1,52306.33333,0.8333333333,3.916666667,84.41666667,16748.5,1,76.17
247,salaried,25000-80000,2,56,1,29781.33333,0.9166666667,3.916666667,75.58333333,14509.75,1,77.26
248,student,0-15000,3,16,3,64133.58333,0.9166666667,1.666666667,98.16666667,19505.66667,0,84.51
249,student,0-15000,1,95,2,27025.83333,1,2.083333333,91,16112.08333,0,84.03
250,student,0-15000,3,6,3,34053.66667,0.75,4.333333333,77.58333333,15876.08333,0,71.54
251,salaried,25000-80000,1,20,1,41874.58333,0.9166666667,2.916666667,104.3333333,12484.5,1,76.23
252,salaried,25000-80000,2,79,1,47912.66667,0.9166666667,2.75,93.16666667,17929.75,2,81.85
253,student,0-15000,1,68,1,41828.08333,0.9166666667,2.416666667,77.33333333,18286.25,2,82.54
254,self_employed,20000-100000,3,12,2,8637.083333,0.75,5.166666667,97.33333333,13409.83333,1,68.24
255,salaried,25000-80000,3,48,3,50708.58333,0.9166666667,2.25,84.33333333,8756.666667,0,73.17
256,salaried,25000-80000,1,29,1,50714.41667,0.9166666667,3,71.08333333,16908,0,80.57
257,salaried,25000-80000,2,93,1,47331.5,0.9166666667,3.25,86.25,15862,0,79.28
258,salaried,25000-80000,2,27,2,52437.16667,0.9166666667,2.833333333,82.83333333,15751.66667,0,79.58
259,student,0-15000,2,76,1,46132.83333,0.8333333333,4.166666667,85.33333333,15377.66667,0,74.54
260,self_employed,20000-100000,1,91,3,9873.083333,0.75,4.25,91.66666667,14385.58333,1,70.14
261,self_employed,20000-100000,2,6,1,61553.66667,0.9166666667,2.583333333,84.75,15363.58333,2,79.45
262,salaried,25000-80000,2,61,3,26269.33333,0.9166666667,2.916666667,91.25,21372.16667,0,85.12
263,salaried,25000-80000,2,54,1,55165.83333,0.9166666667,2.25,70.5,13464.5,1,77.88
264,salaried,25000-80000,3,24,2,43883.66667,0.75,4.666666667,86,13599.5,0,68.93
265,salaried,25000-80000,2,119,2,14858.41667,1,2.416666667,86.83333333,16981.16667,0,84.56
266,salaried,25000-80000,2,99,2,15868.25,0.9166666667,3.25,73.41666667,14437,1,77.85
267,gig,10000-30000,1,13,1,24746,0.8333333333,3.083333333,90.41666667,12655.75,2,72.91
268,student,0-15000,3,15,2,10734.75,1,2.25,98.75,13234.25,1,80.98
269,self_employed,20000-100000,2,102,3,35518.75,0.9166666667,2.583333333,104.5833333,15753.33333,1,79.84
270,self_employed,20000-100000,3,12,1,46506.41667,0.75,4.583333333,78.66666667,10362.16667,1,65.78
271,salaried,25000-80000,2,72,3,49812.41667,0.9166666667,2.916666667,91.16666667,17691,0,81.44
272,gig,10000-30000,1,59,1,20656.08333,1,1.833333333,87.16666667,14781.83333,0,82.95
273,gig,10000-30000,1,102,3,48912.16667,0.9166666667,2.75,72,10934.41667,0,74.85
274,gig,10000-30000,3,93,2,47501.75,0.8333333333,3,72,18145.75,0,78.48
275,gig,10000-30000,3,21,1,47588.91667,0.75,4,104.75,13851.08333,0,69.85
276,student,0-15000,2,60,2,24639.83333,0.8333333333,3.166666667,64.08333333,17248.08333,1,77.41
277,student,0-15000,1,28,1,29152.91667,1,2.75,114.25,16738.5,0,83.99
